title,snippet,budget,job_status,category2,subcategory2,job_type,url,date_created,id,skills,client.feedback,client.reviews_count,client.jobs_posted,client.past_hires,client.country

"Apache Spark, Airflow, Python","We're looking for 3-5+ years senior engineer with deep Apache Spark experience.  Should be very senior in Python, 5+ years experience with a focus on machine learning.  We have a deep analytics package build in Python and a running system that is a MVP that needs to be commercialized.  One of the first main tasks is rebuilding our internal libraries to support more friendly use for developers. Experience with Databricks / Spark would also be helpful.",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~01a78865ae55dbad0f,2020-02-22T20:11:22+0000,~01a78865ae55dbad0f,python; spark-mllib; scikit-learn; pyspark; apache-spark,4.8197601951,46,194,151,United States

"Digital Image Processing in Matlab (Soil Analysis, pH and Texture)","I basically want to create a matlab simulation that tells if a soil is good for rice farming or not.














































So the two featuress of the soil to be tested are the pH and texture of the soil samples.





























































































So the output of my work will be 














































1. approximate pH value of the test (input) soil














































2. The texture (degree of smoothness)














































3. Accuracy














































4. Suggestion if it should be used for rice farming





























































































I have a dataset.",20,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~0167450888f574db32,2020-02-22T17:47:13+0000,~0167450888f574db32,matlab; python,0.0,0,0,0,Nigeria

Create Flask/ Django application  to integrate with machine learning model,"We are looking for a Senior python developer with experinece working with Machine learning model.





























































































Task: To create a strong backend application using  flask or  Django framework , the application will be to upload images and run the machine learning model and provide json response as an output.





























































































( Machine learnign model exist, your job is to create backend application)





























































































The application should be able to handle 100+ api queries in one minute. 














































The response time must be less then 5secs.














































Based on the first task, we will continue working with you on other task similar to this one.",0,Open,"Web, Mobile & Software Dev",Web Development,Hourly,http://www.upwork.com/jobs/~01aee2c6cc18399866,2020-02-22T08:41:24+0000,~01aee2c6cc18399866,very-small-1-9-employees; amazon-web-services; database; nginx; python; web-services; api; apache-http-server; sqlite; mysql; restful-api; flask; backend-rest-api; django,0.0,0,2,0,India

MapReduce Hadoop Work in Python,"Hey, I need help with executing simple queries in hadoop mapreduce in python.














































I will give more details to interested candidates.





























































































Thanks",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~01b7a78e9aed6a77cd,2020-02-22T08:36:24+0000,~01b7a78e9aed6a77cd,python; hadoop; data-mining,0.0,0,6,2,India

Need a data analyst for machine learning techniques,Survival analysis comparison through supervised and unsupervised as well as supervised method based cox and AFT models,350,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~0129b72c59c0023384,2020-02-22T07:49:15+0000,~0129b72c59c0023384,r; weka; python; data-analysis; deep-learning; data-science; machine-learning,0.0,0,2,0,Canada

Networks and random walks in Python,Networks and random walks in Python. I will share more details in chat.,20,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~013855fa66f06b1a39,2020-02-22T05:49:34+0000,~013855fa66f06b1a39,python,4.7758203034,131,741,263,India

Machine learning engineer needed for an NLP project for kids,NLP project for an educational (5-18 year olds) project,500,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~01733852a4cde6bf23,2020-02-22T05:10:08+0000,~01733852a4cde6bf23,tensorflow; python; artificial-intelligence; google-cloud-platform,5.0,1,5,2,India

Full Stack Development,"Our team is looking for an energetic, self-motivated individual with extensive full-stack development experience. We can offer work in an exciting domain (data analytics and machine learning) with a dynamic team in an extremely promising market. This specific fixed-price project is to test out the fit for an ongoing relationship, that is, there are employment opportunities beyond this project.





























































































This project is about exploring the value of a data exploration approach with an academic tool that is no longer maintained. 





























































































Deliverable:














































An update to the client and server applications that make up the DIVE data exploration tool. In particular, the deliverable expectation is:














































* client and server applications have current library dependencies














































* update the Python version to the ""Latest"" as per Python.org, currently 3.8.1














































* ability to build the server from a Dockerfile














































* ability to run the server from a Docker image














































* client WebApp runs in at least the current Chrome browser














































* client and server applications can process and render data from several test datasets (to be provided)














































* code is contributed to a private repository. Pull requests to the original DIVE repos require explicit prior permission.





























































































Job posting ID: #04-201-0954",250,Open,"Web, Mobile & Software Dev",Web Development,Fixed,http://www.upwork.com/jobs/~012f8b4381e3665560,2020-02-21T22:08:49+0000,~012f8b4381e3665560,node.js; celery; docker; python; javascript; react-js; web-application,0.0,0,2,0,United States

Website developer with Machine Learning experience needed,"Create a AWS site to login and upload pre-trained models exposed as APIs (using Flask or Django) by teams and ability for consumers to connect to the model, train and validate with their own data and use or reject the model. Basically, it's a marketplace where producers upload models, data that was trained with, meta data and documentation to help consumers to connect to the model through APIs. Producers of the model will protect their IP and consumers can only access the model as a blackbox",300,Open,"Web, Mobile & Software Dev",Ecommerce Development,Fixed,http://www.upwork.com/jobs/~014412ae3e4b45ee6c,2020-02-21T21:24:04+0000,~014412ae3e4b45ee6c,html; landing-pages; react-js; api-integration; webdesign; python,0.0,0,1,0,United States

NIST Handwriting recognition to CoreML,"Are you interested in a unique ML challenge, then you will love this project.





























































































Apple iOS has made huge advancements with its CoreML model. And while it can reasonably detect handwriting digits using the MNIST dataset, there is no model available for handwriting character recognition. 





























































































So we need one built.





























































































Specifically, using the NIST Special 19 dataset (https://www.nist.gov/srd/nist-special-database-19) and/or the IAM Handwriting dataset (https://www.kaggle.com/tejasreddy/iam-handwriting-top50), we want to create a CoreML model that can be used in an iOS application. 





























































































This project is inspired by the work for Japanese character recognition (https://www.freecodecamp.org/news/build-a-handwriting-recognizer-ship-it-to-app-store-fcce24205b4b/) and TejasReddy9 (https://github.com/TejasReddy9/handwriting_cnn)





























































































Hence this project is fairly straight-forward; create the most accurate COREML module for English handwriting characters that we can integrate into our XCode project.





























































































This project will require a working knowledge of machine learning algorithms like CNN, DeepForest, KNN, etc and tools like Keras, Tensorflow, etc.





























































































So are you up for the challenge? If so, we would appreciate the opportunity to work with you.",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~012315c2485e02ac72,2020-02-21T18:40:47+0000,~012315c2485e02ac72,natural-language-toolkit-nltk; python; deep-learning; keras; data-science; core-ml,4.8629764517,5,11,6,United States

Machine Learning for Real Estate Data,"Seeking ML dev interesting in tackling analytics for Commercial Real estate. Our firm is aggregating data with the goal of determining buildings that are likely to be listed for sale in the near future. 














































We want to create a general purpose ML based architecture that can classify and prioritize promising development opportunities.",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~018ec4ccd9bba5ee5e,2020-02-21T16:07:48+0000,~018ec4ccd9bba5ee5e,tensorflow; r; amazon-web-services; python; data-analysis; artificial-intelligence; deep-learning; chatbot-development; data-science; machine-learning; deeplearn.js,4.8116506024,14,110,32,United States

"Deep learning, CNN (with exist codes)","Hello,














































I have 2 sets of images in 2 folders. folder ""yes"", folder""no"".














































I am looking for a CCN code to recognize a new given image is a ""yes"" or ""no"".





























































































I have already tried an implemented object detection code with a toutorial, I made a dataset with LabelIMG, and I trained a model, codes works well but doesn't give a good result on my images. 





























































































I need to give a new image to the program an just recive if the image recognized as YES or NO.





























































































You can use the exist and implemented codes such as Alexnet, any other ready stuff, your previuos jobs in deep learning or so!  





























































































I have a really limited time and I need it till Monday morning. I have tried an exist code in half a day and I think for a person who has more knowledge in deep learning and programming, it is an easy job. 





























































































I can Also help in labeling images for preparing dataset to save time.





























































































Thanks",50,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~016225765afc8cad4d,2020-02-21T16:04:16+0000,~016225765afc8cad4d,convolutional-neural-network; python; deep-learning; computer-vision,4.1147931248,4,5,4,Portugal

nlp python grammar correction,"I look for nlp python grammar correction expert to create python scripts with deep learning libraries and methodologies 














































will analyze texts and deliver results like grammar corrections, missing words,  incomplete sentences, etc",100,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~013a8fc8f2167eb93e,2020-02-21T15:40:42+0000,~013a8fc8f2167eb93e,natural-language-processing; pybrain; pytorch; tensorflow; neural-networks; natural-language-toolkit-nltk; deep-neural-networks; python; deep-learning; machine-learning,0.0,0,16,0,Spain

Senior Python Data Scientist,"Senior Data Scientist














































Python, R, Knime (or similar)), databases (SQL/NoSQL).














































Experience in Keras, TensorFlow and/or PyTorch.














































Natural language processing (NLP), ideally with respect to transfer learning.














































Create clear visualizations in relevant packages/software (e.g. ggplot, tableau, Microsoft BI,














































seaborn).














































Experience in the development of APIs in microservices for a variety of platform requirements.














































Azure Cloud experience














































Experience of cloud technologies, ideally AWS and Azure














































Linux & Unix administration experience














































Basic experience of databases (Oracle, MySQL or MSSQL), DNS and monitoring concepts














































Data cleansing and data transformation experience














































Experience assisting infrastructure management with capacity planning














































Experience pushing data to MS SQL and Azure storage tables














































Experience of Power BI",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~01987c30ab40de4a0d,2020-02-21T15:36:03+0000,~01987c30ab40de4a0d,tensorflow; python; windows-azure; natural-language-toolkit-nltk; data-science,0.0,0,2,0,India

Data Analytics recommendations including Machine Learning and Deep Learning.,"Please provide all possible information that can be determined from internally produced consumer purchase data (see attached samples) and externally produced data (e.g. twitter feed,...). Advise of any additional internal data-points that would be beneficial in information generation. Describe all processes used in the information determination (e.g. SQL, Machine Learning, Deep Learning). Provide the steps required and the reasons for using them. If you can, describe the pipeline and system architecture to best achieve results. Currently we are using a C# front-end to consume a Python API back-end.





























































































Provide full outline to be hired. Then, fully detail as required.





























































































Please use Teamviewer. Meetings are held 9am-5pm ET (New York time).",150,Open,Data Science & Analytics,Quantitative Analysis,Fixed,http://www.upwork.com/jobs/~0187d547dcbbad7e7d,2020-02-21T14:52:10+0000,~0187d547dcbbad7e7d,python; data-analysis; web-analytics; data-science; sql; machine-learning,4.9046909624,33,84,50,United States

ML Project Tutor,"Tutor me and help me complete a project with the following description. 





























































































1. Implement KMeans algorithm














































2. Implement EM Algorithm 














































3. Implement GMM Algorithm





























































































Apply all these three on some data. We will use Numpy, matplotlib. We can't use Sklearn. 





























































































We would Skype and you would help me as I work through it. I would pay per hour of Skype.",0,Open,Data Science & Analytics,Machine Learning,Hourly,http://www.upwork.com/jobs/~01cf48bf1f89b3be62,2020-02-21T14:51:11+0000,~01cf48bf1f89b3be62,python; python-numpy; data-science; matplotlib; machine-learning; numpy,4.524691358,10,17,18,United States

25-30 Pg Writing Report- Python For Beginners,"Title: Python For Beginners





























































































I am looking for a great content writer and with deep understanding in Python. The main requisite is to be an expert in Python and to present the basics in Python for beginners, this means teaching Python from scratch.





























































































Looking for a 25-30 page report in English. I am expecting a high-level and original content.





























































































I will send bellow some examples you must inspire on in order to fulfill my requisites.














































Read the description in each link and find out more about the topics you should cover.





























































































Example 1














































https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/





























































































Example 2














































https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/





























































































-------------------------------------------------------------------------------------------------------------





























































































Delivery time: 10 days














































 














































Feel free to message me if you still have any doubt.





























































































Hoping Great content and great work.





























































































Wish you the best.",115,Open,Data Science & Analytics,Machine Learning,Fixed,http://www.upwork.com/jobs/~01db5f3b78b69a0b0a,2020-02-21T14:06:24+0000,~01db5f3b78b69a0b0a,python; deep-learning; book-writing; data-science; machine-learning,0.0,0,1,0,Portugal

Predicting optimal parameters with existing results (I/O data set) - Machine Learning (Python),"- Python Code showing ANN model tested, trained and predictive of potential future results with certain inputs. 













































